Year,Month,Day,max_temp,min_temp
2024,1,1,-2.0,-7.5
2024,1,2,2.0,-8.0
2024,1,3,3.0,-2.0
2024,1,4,-7.0,-9.0
2024,1,5,-1.0,-13.0
2024,1,6,-8.0,-9.0
2024,1,7,-4.0,-10.5
2024,1,8,-1.0,-6.0
2024,1,9,2.0,-7.0
2024,1,10,5.5,-7.0
2024,1,11,-5.0,-7.5
2024,1,12,-1.0,-11.0
2024,1,13,2.5,-7.0
2024,1,14,-2.0,-6.0
2024,1,15,-5.0,-10.5
2024,1,16,-6.0,-14.0
2024,1,17,-8.0,-18.0
2024,1,18,-6.0,-12.5
2024,1,19,-13.5,-18.5
2024,1,20,-10.0,-17.0
2024,1,21,-6.0,-18.0
2024,1,22,0.0,-17.5
2024,1,23,-1.0,-3.5
2024,1,24,-1.0,-11.0
2024,1,25,1.0,-7.5
2024,1,26,3.0,-1.0
2024,1,27,2.0,0.0
2024,1,28,3.0,0.0
2024,1,29,1.0,-2.0
2024,1,30,-5.0,-8.0
2024,1,31,3.0,-7.5
2024,2,1,4.0,-1.0
2024,2,2,1.0,-1.5
2024,2,3,-1.5,-7.0
2024,2,4,1.0,-7.0
2024,2,5,4.0,-6.0
2024,2,6,3.0,-9.0
2024,2,7,3.0,-10.0
2024,2,8,6.0,-7.0
2024,2,9,10.0,-1.0
2024,2,10,7.0,2.5
2024,2,11,4.0,1.0
2024,2,12,4.0,-1.0
2024,2,13,5.0,-7.0
2024,2,14,-4.0,-10.5
2024,2,15,-3.0,-12.0
2024,2,16,-1.0,-7.0
2024,2,17,-6.0,-14.0
2024,2,18,-1.5,-16.0
2024,2,19,10.0,-14.5
2024,2,20,-6.0,-12.5
2024,2,21,5.0,-13.0
2024,2,22,7.0,-0.5
2024,2,23,5.0,0.5
2024,2,24,-9.0,-16.0
2024,2,25,2.5,-14.0
2024,2,26,4.5,-1.0
2024,2,27,10.0,-1.5
2024,2,28,16.0,3.0
2024,2,29,-6.5,-13.0
2024,3,1,6.0,-12.0
2024,3,2,6.5,-3.5
2024,3,3,9.0,1.5
2024,3,4,12.0,0.5
2024,3,5,17.0,1.0
2024,3,6,6.0,3.5
2024,3,7,12.0,1.0
2024,3,8,8.5,-2.0
2024,3,9,8.0,1.0
2024,3,10,4.0,-2.0
2024,3,11,6.0,-4.5
2024,3,12,11.0,-2.0
2024,3,13,10.0,0.0
2024,3,14,14.0,-1.0
2024,3,15,12.5,4.5
2024,3,16,7.0,-1.0
2024,3,17,7.0,1.0
2024,3,18,2.0,-1.0
2024,3,19,0.5,-6.0
2024,3,20,4.0,-1.0
2024,3,21,-2.0,-10.5
2024,3,22,-3.0,-12.0
2024,3,23,1.0,-6.0
2024,3,24,3.0,-8.5
2024,3,25,10.0,-5.0
2024,3,26,13.0,0.0
2024,3,27,16.0,5.0
2024,3,28,11.0,2.5
2024,3,29,9.0,-2.0
2024,3,30,8.0,-1.0
2024,3,31,12.0,0.5
2024,4,1,12.5,-1.5
2024,4,2,13.0,-1.0
2024,4,3,8.0,3.5
2024,4,4,2.0,-1.5
2024,4,5,8.0,0.0
2024,4,6,12.0,3.0
2024,4,7,17.0,-1.5
2024,4,8,19.0,1.0
2024,4,9,21.0,4.5
2024,4,10,23.0,6.5
2024,4,11,14.5,4.5
2024,4,12,18.0,11.0
2024,4,13,7.0,3.0
2024,4,14,10.0,0.0
2024,4,15,16.0,4.5
2024,4,16,15.0,2.0
2024,4,17,12.0,1.0
2024,4,18,9.0,3.5
2024,4,19,13.0,7.5
2024,4,20,10.0,3.0
2024,4,21,10.5,1.0
2024,4,22,12.0,-2.0
2024,4,23,18.0,1.0
2024,4,24,7.0,0.5
2024,4,25,10.0,-3.0
2024,4,26,15.0,-2.5
2024,4,27,21.0,2.5
2024,4,28,21.5,9.0
2024,4,29,13.0,5.5
2024,4,30,9.0,6.5
2024,5,1,16.5,5.5
2024,5,2,19.0,7.0
2024,5,3,19.0,8.5
2024,5,4,24.0,13.0
2024,5,5,15.0,11.5
2024,5,6,21.5,9.0
2024,5,7,22.0,6.0
2024,5,8,13.0,8.5
2024,5,9,18.0,4.5
2024,5,10,18.0,7.0
2024,5,11,18.0,5.5
2024,5,12,17.0,9.5
2024,5,13,20.0,9.0
2024,5,14,22.5,14.5
2024,5,15,21.0,11.0
2024,5,16,25.0,12.5
2024,5,17,24.5,13.5
2024,5,18,24.5,16.0
2024,5,19,27.5,12.0
2024,5,20,29.5,16.0
2024,5,21,24.0,16.5
2024,5,22,31.0,16.0
2024,5,23,26.0,17.0
2024,5,24,18.0,12.5
2024,5,25,19.5,7.5
2024,5,26,22.0,14.0
2024,5,27,24.0,16.5
2024,5,28,21.0,16.5
2024,5,29,17.5,10.0
2024,5,30,20.5,7.5
2024,5,31,26.0,9.5
2024,6,1,27.0,13.0
2024,6,2,27.0,13.5
2024,6,3,29.5,13.5
2024,6,4,29.5,15.0
2024,6,5,31.0,19.5
2024,6,6,23.5,17.0
2024,6,7,21.0,14.5
2024,6,8,22.0,13.5
2024,6,9,19.5,13.0
2024,6,10,15.0,10.5
2024,6,11,17.5,9.5
2024,6,12,23.0,14.0
2024,6,13,27.0,10.5
2024,6,14,23.0,17.0
2024,6,15,20.0,11.5
2024,6,16,21.5,7.0
2024,6,25,27.5,17.0
2024,6,26,27.0,19.0
2024,6,27,19.5,13.0
2024,6,28,24.0,7.0
2024,6,29,23.5,17.0
2024,6,30,25.5,17.5
2024,7,1,25.5,13.5
2024,7,2,27.5,13.0
2024,7,3,28.5,18.5
2024,7,4,30.0,18.5
2024,7,5,31.0,20.0
2024,7,6,29.0,19.0
2024,7,7,29.0,19.5
2024,7,8,29.5,18.5
2024,7,9,32.0,20.0
2024,7,10,23.0,18.5
2024,7,11,25.0,19.0
2024,7,12,29.5,19.5
2024,7,13,30.0,20.0
2024,7,14,30.5,17.5
2024,7,15,30.5,21.0
2024,7,16,26.5,20.0
2024,7,17,27.5,20.5
2024,7,18,21.0,15.5
2024,7,19,27.0,13.5
2024,7,20,28.5,13.5
2024,7,21,25.5,15.0
2024,7,22,27.5,11.5
2024,7,23,28.5,18.0
2024,7,24,25.5,18.0
2024,7,25,21.5,17.5
2024,7,26,27.0,15.0
2024,7,27,28.5,16.5
2024,7,28,30.5,16.0
2024,7,29,28.0,15.0
2024,7,30,31.0,15.0
2024,7,31,30.5,21.5
2024,8,1,32.5,21.5
2024,8,2,32.0,19.5
2024,8,3,32.5,21.0
2024,8,4,32.5,18.0
2024,8,5,21.0,16.5
2024,8,6,26.0,12.5
2024,8,7,26.0,13.0
2024,8,8,26.5,12.0
2024,8,9,21.0,19.0
2024,8,10,25.5,15.0
2024,8,11,24.0,14.0
2024,8,12,23.0,13.0
2024,8,13,28.5,14.0
2024,8,14,29.5,18.0
2024,8,15,31.5,19.0
2024,8,16,31.5,18.0
2024,8,17,26.5,19.0
2024,8,18,28.0,20.0
2024,8,19,17.5,14.5
2024,8,20,20.5,11.0
2024,8,21,20.5,13.0
2024,8,22,24.5,13.5
2024,8,23,26.0,12.0
2024,8,24,26.5,13.0
2024,8,25,27.5,18.5
2024,8,26,29.5,16.0
2024,8,27,29.5,16.5
2024,8,28,20.0,15.0
2024,8,29,22.5,11.0
2024,8,30,23.5,12.0
2024,8,31,25.0,18.0
2024,9,1,25.5,13.5
2024,9,2,19.5,10.5
2024,9,3,23.5,8.5
2024,9,4,25.5,10.0
2024,9,5,25.5,10.0
2024,9,6,23.0,13.0
2024,9,7,16.0,13.0
2024,9,8,15.0,6.0
2024,9,9,19.5,9.0
2024,9,10,21.5,7.0
2024,9,11,25.5,8.0
2024,9,12,26.5,14.5
2024,9,13,28.5,12.5
2024,9,14,31.0,13.5
2024,9,15,29.5,14.0
2024,9,16,30.0,13.0
2024,9,17,29.5,14.5
2024,9,18,28.5,13.0
2024,9,19,28.5,13.0
2024,9,20,27.0,16.0
2024,9,21,25.5,14.5
2024,9,22,24.0,13.5
2024,9,23,19.0,14.5
2024,9,24,21.5,13.0
2024,9,25,19.0,13.0
2024,9,26,22.5,15.5
2024,9,27,22.5,11.0
2024,9,28,23.0,9.5
2024,9,29,24.5,11.0
2024,9,30,23.5,12.5
2024,10,1,24.5,11.5
2024,10,2,17.5,13.0
2024,10,3,21.5,5.5
2024,10,4,21.5,7.5
2024,10,5,18.0,6.5
2024,10,6,21.0,4.0
2024,10,7,14.5,8.5
2024,10,8,15.0,1.0
2024,10,9,10.5,3.5
2024,10,10,13.5,4.0
2024,10,11,19.0,3.5
2024,10,12,13.5,7.0
2024,10,13,12.0,4.0
2024,10,14,11.5,4.0
2024,10,15,9.5,4.5
2024,10,16,11.5,3.0
2024,10,17,15.5,-0.5
2024,10,18,18.5,1.0
2024,10,19,20.5,-0.5
2024,10,20,21.5,3.5
2024,10,21,25.0,11.0
2024,10,22,24.5,9.5
2024,10,23,21.5,11.0
2024,10,24,10.5,4.0
2024,10,25,10.5,-2.0
2024,10,26,11.0,4.5
2024,10,27,7.5,0.0
2024,10,28,7.0,-4.0
2024,10,29,11.5,0.0
2024,10,30,22.5,7.0
2024,10,31,24.5,13.5
2024,11,1,16.0,9.5
2024,11,2,6.0,0.5
2024,11,3,6.5,-5.0
2024,11,4,9.5,-1.0
2024,11,5,19.5,4.0
2024,11,6,20.5,15.5
2024,11,7,11.5,5.0
2024,11,8,13.0,5.0
2024,11,9,7.5,0.0
2024,11,10,11.0,-2.5
2024,11,11,13.0,4.0
2024,11,12,5.5,1.0
2024,11,13,5.0,-4.0
2024,11,14,4.5,-3.0
2024,11,15,10.0,-0.5
2024,11,16,13.5,2.5
2024,11,17,8.5,-2.5
2024,11,18,10.5,1.0
2024,11,19,10.5,2.5
2024,11,20,7.0,2.0
2024,11,21,6.5,4.0
2024,11,22,8.5,4.5
2024,11,23,8.0,3.5
2024,11,24,4.0,0.5
2024,11,25,5.0,-3.0
2024,11,26,5.5,-2.0
2024,11,27,6.5,0.0
2024,11,28,3.0,-2.0
2024,11,30,3.0,-1.5
2024,12,1,0.5,-3.5
2024,12,2,-0.5,-6.0
2024,12,3,-0.5,-4.0
2024,12,4,0.0,-6.0
2024,12,5,2.0,-3.0
2024,12,6,-5.5,-10.0
2024,12,7,3.0,-10.5
2024,12,8,3.0,-8.0
2024,12,9,0.0,-8.5
2024,12,10,1.5,-8.0
2024,12,11,2.5,-1.5
2024,12,12,0.0,-4.5
2024,12,13,-4.5,-11.5
2024,12,14,-4.0,-11.5
2024,12,15,-5.0,-14.0
2024,12,16,7.0,-8.0
2024,12,17,7.5,-0.5
2024,12,18,2.0,0.0
2024,12,19,-1.0,-8.5
2024,12,20,-6.5,-12.0
2024,12,21,-11.0,-13.0
2024,12,22,-11.0,-18.0
2024,12,23,-8.0,-17.0
2024,12,24,-2.0,-12.0
2024,12,25,-5.0,-9.5
2024,12,26,-5.0,-10.5
2024,12,27,-5.0,-8.0
2024,12,28,-1.5,-8.0
2024,12,29,5.5,-5.5
2024,12,30,7.5,1.5
2024,12,31,5.5,2.5
